"Year","Age","Gender","City","Position","experienced_year","Seniority_level","Current_Salary","main_language","company_size","company_type","programming_skills","lon","lat"
2018,41,"MALE","MUNICH","SOFTWARE ARCHITECT","16 to 20","SENIOR",113000,"DEUTSCH","101-1000","STARTUP","UNKNOWN",11.5819805,48.1351253
2018,30,"MALE","MUNICH","EMBEDDED","6 to 10","MIDDLE",75000,"ENGLISH","51-100","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,24,"FEMALE","MUNICH","IOS DEVELOPER","Less than 5","MIDDLE",57000,"RUSSIAN","101-1000","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,43,"MALE","BERLIN","DATA ENGINEER","6 to 10","SENIOR",84000,"ENGLISH","51-100","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,28,"MALE","MUNICH","IOS DEVELOPER","6 to 10","SENIOR",70000,"ENGLISH","1000+","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,29,"MALE","BREMEN","SOFTWARE ENGINEER","Less than 5","JUNIOR",55000,"DEUTSCH","11-50","PRODUCT","UNKNOWN",8.8016936,53.0792962
2018,32,"MALE","MUNICH","PHP DEVELOPER","6 to 10","SENIOR",60000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,31,"MALE","FRANKFURT","RUBY DEVELOPER","11 to 15","SENIOR",65000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",8.6821267,50.1109221
2018,33,"MALE","BERLIN","FRONTEND","6 to 10","SENIOR",70000,"ENGLISH","11-50","STARTUP","UNKNOWN",13.404954,52.5200066
2018,32,"MALE","MUNICH","SENIOR SOFTWARE DEVELOPER","6 to 10","SENIOR",78000,"ENGLISH","11-50","STARTUP","UNKNOWN",11.5819805,48.1351253
2018,34,"MALE","HAMBURG","SCALA DEVELOPER","6 to 10","SENIOR",71000,"ENGLISH","51-100","STARTUP","UNKNOWN",9.9936819,53.5510846
2018,29,"MALE","MUNICH","DEVELOPER","6 to 10","SENIOR",75000,"DEUTSCH","101-1000","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,27,"FEMALE","FRANKFURT","CONSULTANT","Less than 5","JUNIOR",49000,"ENGLISH","1000+","CONSULTING","UNKNOWN",8.6821267,50.1109221
2018,28,"MALE","HAMBURG","RUBY DEVELOPER","Less than 5","SENIOR",65000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",9.9936819,53.5510846
2018,35,"MALE","MUNICH","DEVELOPER","6 to 10","SENIOR",56000,"ENGLISH","51-100","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,32,"FEMALE","BERLIN","QA","Less than 5","JUNIOR",30000,"ENGLISH","51-100","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,29,"MALE","FRANKFURT","IOS DEVELOPER","Less than 5","MIDDLE",45000,"ENGLISH","UP TO 10","AGENCY","UNKNOWN",8.6821267,50.1109221
2018,36,"FEMALE","MUNICH","QA","Less than 5","MIDDLE",55000,"ENGLISH","1000+","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,25,"MALE","FRANKFURT","FRONTEND","Less than 5","MIDDLE",66000,"ENGLISH","101-1000","AGENCY","UNKNOWN",8.6821267,50.1109221
2018,25,"MALE","MUNICH","BACKEND DEVELOPER","Less than 5","SENIOR",60000,"RUSSIAN","11-50","STARTUP","UNKNOWN",11.5819805,48.1351253
2018,32,"MALE","BERLIN","FRONTEND","6 to 10","MIDDLE",50000,"ENGLISH","11-50","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,29,"MALE","BERLIN","SDET","6 to 10","SENIOR",60000,"ENGLISH","1000+","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,26,"MALE","MUNICH","ANDROID DEVELOPER","Less than 5","MIDDLE",66000,"ENGLISH","1000+","AGENCY","UNKNOWN",11.5819805,48.1351253
2018,33,"MALE","FRANKFURT","TECHNICAL LEAD","6 to 10","SENIOR",95000,"DEUTSCH","1000+","PRODUCT","UNKNOWN",8.6821267,50.1109221
2018,31,"MALE","BERLIN","TECHNICAL PRODUCT MANAGER","Less than 5","MIDDLE",65000,"ENGLISH","101-1000","STARTUP","UNKNOWN",13.404954,52.5200066
2018,29,"MALE","MUNICH","JAVA DEVELOPER","6 to 10","SENIOR",72000,"RUSSIAN","101-1000","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,31,"MALE","BERLIN","DEVELOPER","11 to 15","SENIOR",60000,"ENGLISH","51-100","STARTUP","UNKNOWN",13.404954,52.5200066
2018,27,"MALE","BERLIN","DEVELOPER","6 to 10","SENIOR",87000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,30,"MALE","BERLIN","IOS DEVELOPER","6 to 10","SENIOR",70000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,34,"FEMALE","BERLIN","MANAGER","Less than 5","MIDDLE",55000,"ENGLISH","101-1000","STARTUP","UNKNOWN",13.404954,52.5200066
2018,34,"MALE","BERLIN","SOFTWARE ENGINEER","6 to 10","SENIOR",67000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,31,"MALE","BERLIN","FRONTEND","11 to 15","SENIOR",65000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,25,"MALE","MUNICH","SOFTWARE DEVELOPER","Less than 5","MIDDLE",62000,"ENGLISH","101-1000","OUTSOURCE","UNKNOWN",11.5819805,48.1351253
2018,28,"MALE","BERLIN","FRONTEND","6 to 10","SENIOR",62000,"ENGLISH","51-100","STARTUP","UNKNOWN",13.404954,52.5200066
2018,38,"MALE","BERLIN","FRONT-END DEVELOPER","16 to 20","SENIOR",83000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,32,"FEMALE","BERLIN","DATA ENGINEER","6 to 10","SENIOR",75000,"ENGLISH","1000+","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,22,"MALE","BERLIN","DATA SCIENTIST","Less than 5","MIDDLE",50000,"ENGLISH","51-100","STARTUP","UNKNOWN",13.404954,52.5200066
2018,24,"MALE","BERLIN","JAVA DEVELOPER","Less than 5","MIDDLE",50000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,36,"FEMALE","MUNICH","QA","Less than 5","MIDDLE",30000,"ENGLISH","11-50","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,32,"MALE","BERLIN","FRONTEND","6 to 10","SENIOR",70000,"ENGLISH","51-100","STARTUP","UNKNOWN",13.404954,52.5200066
2018,32,"MALE","MUNICH","DATA SCIENTIST","Less than 5","SENIOR",65000,"ENGLISH","51-100","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,31,"MALE","BERLIN","SOFTWARE ARCHITECT","11 to 15","SENIOR",78600,"ENGLISH","101-1000","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,34,"MALE","BERLIN","PRINCIPAL SOFTWARE ENGINEER","11 to 15","SENIOR",70000,"ENGLISH","11-50","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,34,"MALE","BERLIN","ENGINEERING MANAGER","16 to 20","SENIOR",70000,"ENGLISH","51-100","STARTUP","UNKNOWN",13.404954,52.5200066
2018,31,"FEMALE","MUNICH","QA","Less than 5","MIDDLE",60000,"ENGLISH","51-100","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,32,"MALE","BERLIN","ANDROID DEVELOPER","6 to 10","SENIOR",72000,"ENGLISH","1000+","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,27,"MALE","BERLIN","SENIOR SOFTWARE ENGINEER","6 to 10","SENIOR",72000,"ENGLISH","1000+","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,30,"MALE","BERLIN","SENIOR BACKEND DEVELOPER","6 to 10","SENIOR",65000,"ENGLISH","1000+","STARTUP","UNKNOWN",13.404954,52.5200066
2018,34,"MALE","BERLIN","AGILE COACH","Less than 5","SENIOR",85000,"ENGLISH","1000+","AGENCY","UNKNOWN",13.404954,52.5200066
2018,30,"MALE","BERLIN","QA","6 to 10","SENIOR",55000,"ENGLISH","51-100","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,28,"FEMALE","BERLIN","FRONTEND","Less than 5","MIDDLE",56000,"ENGLISH","1000+","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,29,"MALE","BERLIN","PYTHON DEVELOPER","Less than 5","MIDDLE",60000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,34,"MALE","MUNICH","ANDROID DEVELOPER","6 to 10","SENIOR",70000,"ENGLISH","101-1000","STARTUP","UNKNOWN",11.5819805,48.1351253
2018,30,"MALE","BERLIN","EMBEDDED","6 to 10","MIDDLE",60000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,35,"MALE","BERLIN",".NET DEVELOPER","11 to 15","SENIOR",62000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,37,"MALE","BERLIN","FULLSTACK","11 to 15","SENIOR",54000,"ENGLISH","11-50","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,30,"MALE","BONN","BUSINESS ANALYST","6 to 10","MIDDLE",64000,"ENGLISH","1000+","PRODUCT","UNKNOWN",7.0982068,50.73743
2018,33,"MALE","BERLIN","FULLSTACK","6 to 10","SENIOR",65000,"ENGLISH","11-50","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,30,"MALE","FRANKFURT","SOFTWARE DEVELOPER","6 to 10","SENIOR",95000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",8.6821267,50.1109221
2018,27,"FEMALE","BERLIN","ANDROID DEVELOPER","Less than 5","MIDDLE",60000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,28,"MALE","MUNICH","SOFTWARE DEVELOPER","6 to 10","MIDDLE",53000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,30,"MALE","BERLIN","SOFTWARE ENGINEER","Less than 5","MIDDLE",69000,"ENGLISH","1000+","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,39,"MALE","BERLIN","SCALA DEVELOPER","16 to 20","SENIOR",84000,"ENGLISH","1000+","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,39,"MALE","BERLIN","DATABASE DEVELOPER","16 to 20","SENIOR",87000,"ENGLISH","1000+","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,35,"FEMALE","BERLIN","SOFTWARE ENGINEER","11 to 15","SENIOR",65000,"ENGLISH","11-50","STARTUP","UNKNOWN",13.404954,52.5200066
2018,30,"FEMALE","BERLIN","COMPUTATIONAL LINGUIST","Less than 5","MIDDLE",50400,"ENGLISH","11-50","STARTUP","UNKNOWN",13.404954,52.5200066
2018,26,"MALE","BERLIN","SOFTWARE ENGINEER","6 to 10","SENIOR",65000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,27,"MALE","BERLIN","DATA SCIENTIST","Less than 5","SENIOR",66000,"ENGLISH","101-1000","STARTUP","UNKNOWN",13.404954,52.5200066
2018,42,"MALE","MUNICH","JAVA DEVELOPER","11 to 15","MIDDLE",42000,"DEUTSCH","11-50","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,34,"MALE","BERLIN","SOFTWARE ENGINEER","6 to 10","MIDDLE",74000,"ENGLISH","1000+","STARTUP","UNKNOWN",13.404954,52.5200066
2018,30,"MALE","MUNICH","SOFTWARE ENGINEER","6 to 10","SENIOR",72500,"ENGLISH","101-1000","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,27,"MALE","HAMBURG","FRONTEND","11 to 15","SENIOR",60000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",9.9936819,53.5510846
2018,38,"MALE","COLOGNE","JAVA DEVELOPER","11 to 15","SENIOR",60000,"DEUTSCH","11-50","CONSULTING","UNKNOWN",-93.7805556,44.7688889
2018,35,"MALE","BERLIN","DEVELOPER","6 to 10","SENIOR",60000,"ENGLISH","UP TO 10","STARTUP","UNKNOWN",13.404954,52.5200066
2018,36,"MALE","BERLIN","HEAD OF ENGINEERING","11 to 15","SENIOR",85000,"DEUTSCH","11-50","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,25,"MALE","BERLIN","ANDROID DEVELOPER","Less than 5","MIDDLE",50000,"ENGLISH","11-50","STARTUP","UNKNOWN",13.404954,52.5200066
2018,29,"MALE","MUNICH","SENIOR ANDROID DEVELOPER","6 to 10","SENIOR",75000,"ENGLISH","51-100","AGENCY","UNKNOWN",11.5819805,48.1351253
2018,30,"FEMALE","BERLIN","FULLSTACK","Less than 5","MIDDLE",58000,"ENGLISH","11-50","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,30,"MALE","BERLIN","PHP DEVELOPER","11 to 15","SENIOR",65000,"ENGLISH","51-100","STARTUP","UNKNOWN",13.404954,52.5200066
2018,31,"FEMALE","BERLIN","SOFTWARE ENGINEER","6 to 10","SENIOR",55800,"DEUTSCH","1000+","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,26,"MALE","BERLIN","QA","Less than 5","MIDDLE",55000,"ENGLISH","1000+","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,27,"MALE","BERLIN","FRONTEND","Less than 5","MIDDLE",55000,"ENGLISH","1000+","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,34,"MALE","BERLIN","ANDROID DEVELOPER","6 to 10","SENIOR",70000,"DEUTSCH","101-1000","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,35,"MALE","BERLIN","PHP DEVELOPER","11 to 15","SENIOR",63000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,29,"MALE","BERLIN","DATA SCIENTIST","6 to 10","SENIOR",115000,"ENGLISH","1000+","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,39,"MALE","FRANKFURT","SAP CONSULTANT","11 to 15","SENIOR",176000,"ENGLISH","1000+","PRODUCT","UNKNOWN",8.6821267,50.1109221
2018,35,"MALE","MUNICH","C++ DEVELOPER","11 to 15","SENIOR",70000,"ENGLISH","UP TO 10","STARTUP","UNKNOWN",11.5819805,48.1351253
2018,26,"MALE","BERLIN","COMPUTER VISION ENGINEER","Less than 5","MIDDLE",50000,"ENGLISH","UP TO 10","STARTUP","UNKNOWN",13.404954,52.5200066
2018,26,"MALE","MUNICH","JAVA DEVELOPER","Less than 5","MIDDLE",58000,"ENGLISH","101-1000","AGENCY","UNKNOWN",11.5819805,48.1351253
2018,27,"MALE","BERLIN","BACKEND DEVELOPER","Less than 5","SENIOR",64000,"ENGLISH","101-1000","STARTUP","UNKNOWN",13.404954,52.5200066
2018,38,"MALE","BERLIN","PM","Less than 5","SENIOR",80000,"ENGLISH","11-50","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,32,"MALE","BERLIN","ML ENGINEER","6 to 10","SENIOR",95000,"ENGLISH","51-100","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,28,"FEMALE","BERLIN","FRONTEND","6 to 10","MIDDLE",50000,"ENGLISH","101-1000","STARTUP","UNKNOWN",13.404954,52.5200066
2018,31,"MALE","MUNICH","LEAD SOFTWARE ENGINEER","11 to 15","SENIOR",90000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,31,"MALE","STUTTGART","HEAD OF DEVELOPMENT","11 to 15","SENIOR",75000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",9.1829321,48.7758459
2018,30,"MALE","COLOGNE","DATA SCIENTIST","Less than 5","MIDDLE",80000,"ENGLISH","1000+","PRODUCT","UNKNOWN",-93.7805556,44.7688889
2018,36,"MALE","MUNICH","DATA SCIENTIST","Less than 5","SENIOR",92000,"ENGLISH","51-100","AGENCY","UNKNOWN",11.5819805,48.1351253
2018,24,"MALE","MUNICH","IT CONSULTANT","Less than 5","MIDDLE",60000,"ENGLISH","101-1000","AGENCY","UNKNOWN",11.5819805,48.1351253
2018,34,"FEMALE","MUNICH","C++ DEVELOPER","6 to 10","MIDDLE",63000,"DEUTSCH","11-50","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,22,"MALE","MUNICH","SOFTWARE DEVELOPER","Less than 5","JUNIOR",70000,"ENGLISH","1000+","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,29,"MALE","BERLIN","BACKEND DEVELOPER","Less than 5","MIDDLE",65000,"ENGLISH","51-100","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,29,"MALE","STUTTGART","COMPUTER VISION ENGINEER","6 to 10","SENIOR",125000,"ENGLISH","1000+","PRODUCT","UNKNOWN",9.1829321,48.7758459
2018,35,"MALE","BERLIN","SENIOR SOFTWARE ENGINEER","6 to 10","SENIOR",68000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,28,"MALE","STUTTGART","C++ DEVELOPER","Less than 5","MIDDLE",60000,"ENGLISH","101-1000","AGENCY","UNKNOWN",9.1829321,48.7758459
2018,31,"MALE","BERLIN","SENIOR SOFTWARE ENGINEER","6 to 10","SENIOR",75000,"ENGLISH","101-1000","STARTUP","UNKNOWN",13.404954,52.5200066
2018,38,"FEMALE","MUNICH","JAVA DEVELOPER","16 to 20","MIDDLE",58000,"DEUTSCH","101-1000","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,30,"MALE","BERLIN","SENIOR DATA SCIENTIST","6 to 10","SENIOR",76000,"ENGLISH","1000+","E-COMMERCE","UNKNOWN",13.404954,52.5200066
2018,27,"MALE","MUNICH","SENIOR SOFTWARE ENGINEER","6 to 10","SENIOR",75000,"ENGLISH","1000+","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,36,"MALE","BERLIN","JAVA DEVELOPER","11 to 15","SENIOR",80000,"ENGLISH","1000+","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,32,"MALE","MUNICH","DEVELOPER","6 to 10","SENIOR",80000,"ENGLISH","1000+","OUTSOURCE","UNKNOWN",11.5819805,48.1351253
2018,32,"MALE","BERLIN","BIG DATA ENGINEER","Less than 5","SENIOR",87000,"ENGLISH","11-50","STARTUP","UNKNOWN",13.404954,52.5200066
2018,26,"MALE","MUNICH","JAVA DEVELOPER","Less than 5","MIDDLE",58000,"RUSSIAN","51-100","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,39,"MALE","MUNICH","SOFTWARE ENGINEER","11 to 15","SENIOR",68000,"ENGLISH","101-1000","STARTUP","UNKNOWN",11.5819805,48.1351253
2018,25,"MALE","BERLIN","C++ DEVELOPER","Less than 5","MIDDLE",48500,"ENGLISH","11-50","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,31,"MALE","BERLIN","JAVA DEVELOPER","Less than 5","JUNIOR",49000,"ENGLISH","1000+","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,28,"MALE","BERLIN","FULLSTACK","6 to 10","SENIOR",75000,"ENGLISH","51-100","STARTUP","UNKNOWN",13.404954,52.5200066
2018,31,"MALE","BERLIN","LEAD SOFTWARE ENGINEER","6 to 10","SENIOR",95000,"ENGLISH","1000+","STARTUP","UNKNOWN",13.404954,52.5200066
2018,26,"MALE","MUNICH","SOFTWARE ENGINEER","6 to 10","MIDDLE",70500,"ENGLISH","1000+","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,50,"FEMALE","BAVARIA","PM","16 to 20","SENIOR",96000,"DEUTSCH","101-1000","PRODUCT","UNKNOWN",11.4978895,48.7904472
2018,22,"MALE","BERLIN","SOFTWARE ENGINEER","Less than 5","MIDDLE",65000,"ENGLISH","1000+","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,34,"MALE","MUNICH","ARCHITECT","11 to 15","SENIOR",83000,"RUSSIAN","101-1000","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,38,"MALE","BERLIN","HEAD OF BI","Less than 5","SENIOR",85000,"ENGLISH","1000+","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,34,"MALE","BERLIN","JAVA DEVELOPER","6 to 10","SENIOR",86000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,28,"MALE","BERLIN","DEVELOPER","Less than 5","MIDDLE",68000,"ENGLISH","11-50","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,31,"MALE","BERLIN","PHP DEVELOPER","11 to 15","SENIOR",61000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,25,"MALE","BERLIN","FULLSTACK","Less than 5","SENIOR",60000,"ENGLISH","11-50","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,25,"MALE","BERLIN","JAVA DEVELOPER","Less than 5","MIDDLE",48000,"ENGLISH","11-50","AGENCY","UNKNOWN",13.404954,52.5200066
2018,29,"MALE","BERLIN","TEAM LEAD","6 to 10","SENIOR",75000,"ENGLISH","101-1000","STARTUP","UNKNOWN",13.404954,52.5200066
2018,28,"MALE","MUNICH","PM","Less than 5","MIDDLE",65000,"RUSSIAN","1000+","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,25,"FEMALE","BERLIN","JAVA DEVELOPER","Less than 5","JUNIOR",40000,"DEUTSCH","11-50","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,43,"MALE","MUNICH","FRONTEND","6 to 10","SENIOR",61000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,35,"MALE","MUNICH","DEVELOPER","11 to 15","SENIOR",85000,"DEUTSCH","101-1000","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,27,"MALE","MUNICH","IOS DEVELOPER","6 to 10","SENIOR",68000,"ENGLISH","101-1000","STARTUP","UNKNOWN",11.5819805,48.1351253
2018,33,"MALE","MUNICH","SENIOR JAVA DEVELOPER","11 to 15","SENIOR",75000,"ENGLISH","11-50","STARTUP","UNKNOWN",11.5819805,48.1351253
2018,40,"MALE","COLOGNE","NETWORK ENGINEER","11 to 15","SENIOR",70000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",-93.7805556,44.7688889
2018,32,"MALE","BERLIN","C# DEVELOPER","Less than 5","SENIOR",55000,"ENGLISH","11-50","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,32,"MALE","BERLIN","PHP DEVELOPER","6 to 10","SENIOR",60000,"ENGLISH","1000+","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,31,"FEMALE","BERLIN","QA","6 to 10","SENIOR",44000,"ENGLISH","101-1000","STARTUP","UNKNOWN",13.404954,52.5200066
2018,36,"MALE","MUNICH","PM","6 to 10","SENIOR",95000,"DEUTSCH","1000+","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,30,"MALE","BERLIN","CTO","6 to 10","SENIOR",90000,"ENGLISH","UP TO 10","AGENCY","UNKNOWN",13.404954,52.5200066
2018,38,"MALE","MUNICH","FRONTEND","Less than 5","SENIOR",70000,"ENGLISH","11-50","STARTUP","UNKNOWN",11.5819805,48.1351253
2018,28,"MALE","BERLIN","DEVELOPER","6 to 10","SENIOR",70000,"ENGLISH","101-1000","STARTUP","UNKNOWN",13.404954,52.5200066
2018,26,"MALE","BERLIN","QA","6 to 10","SENIOR",60000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,31,"MALE","MUNICH","HARDWARE ENGINEER","6 to 10","SENIOR",90000,"ENGLISH","1000+","PRODUCT","UNKNOWN",11.5819805,48.1351253
